,Year,DOY,Satellite,Phenocam,CenterOrNorth,CoastalAerosol_mean,CoastalAerosol_std,Blue_mean,Blue_std,Green_mean,Green_std,Red_mean,Red_std,RedEdge1_mean,RedEdge1_std,RedEdge2_mean,RedEdge2_std,RedEdge3_mean,RedEdge3_std,NIRBroad_mean,NIRBroad_std,NIRNarrow_mean,NIRNarrow_std,SWIR1_mean,SWIR1_std,SWIR2_mean,SWIR2_std,WaterVapor_mean,WaterVapor_std,Cirrus_mean,Cirrus_std,Quality
0,2014,7,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
1,2014,9,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
2,2014,16,L30,ibp,center,518.3333333333334,4.189935029992179,739.0,10.728984626287387,1162.2222222222222,26.22881273111596,1650.7777777777778,44.03982485023647,,,,,,,,,2338.3333333333335,66.21849355647475,3008.6666666666665,41.558526334689866,2476.0,24.087802353519553,,,,,64
3,2014,23,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
4,2014,25,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
5,2014,32,L30,ibp,center,2277.0,103.51489425842705,2477.4444444444443,95.55930225212812,3110.222222222222,55.54733272479883,3716.1111111111113,58.83393662475283,,,,,,,,,4338.666666666667,52.28979080300687,3370.5555555555557,26.192073063391234,3126.8888888888887,23.802168175957064,,,,,194
6,2014,39,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
7,2014,41,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
8,2014,48,L30,ibp,center,836.8888888888889,15.54523467136004,1224.3333333333333,11.51810169544733,2057.8888888888887,20.09667990514544,2709.777777777778,28.357941383432134,,,,,,,,,3489.222222222222,35.52394428106134,3963.0,36.76653067366811,3377.4444444444443,20.67801361140814,,,,,194
9,2014,55,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
10,2014,57,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
11,2014,64,L30,ibp,center,549.3333333333334,14.727148022916348,774.5555555555555,18.10531604628327,1217.7777777777778,30.04358973143218,1735.111111111111,45.341774813188295,,,,,,,,,2431.4444444444443,67.39124755421568,3228.6666666666665,46.16395900603751,2675.777777777778,24.28432406021894,,,,,64
12,2014,71,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
13,2014,73,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
14,2014,80,L30,ibp,center,603.1111111111111,9.654526220545982,848.6666666666666,14.854853303438126,1325.888888888889,27.874498279269307,1869.6666666666667,47.97916214358062,,,,,,,,,2565.0,65.3265302580472,3367.3333333333335,43.109679243117135,2850.777777777778,25.680852260770205,,,,,64
15,2014,87,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
16,2014,89,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
17,2014,96,L30,ibp,center,620.8888888888889,5.445578113263488,870.3333333333334,11.775681155103795,1362.0,28.307831660749528,1926.4444444444443,44.264636276505854,,,,,,,,,2625.4444444444443,64.87271487923462,3461.222222222222,42.18419340036628,2946.777777777778,22.43894322020327,,,,,128
18,2014,103,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
19,2014,105,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
20,2014,112,L30,ibp,center,617.8888888888889,6.657400968420108,872.8888888888889,14.873125984244533,1387.0,29.713446264088738,1954.5555555555557,46.15700527333277,,,,,,,,,2698.1111111111113,60.2429238711337,3552.777777777778,46.46809605113259,2967.8888888888887,21.773809162204458,,,,,128
21,2014,121,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
22,2014,128,L30,ibp,center,642.6666666666666,10.03327796219494,913.7777777777778,16.850834320114558,1460.5555555555557,28.209971094203595,2044.3333333333333,43.62975539188314,,,,,,,,,2821.5555555555557,57.30834942292657,3647.8888888888887,43.508477959140194,3126.6666666666665,26.60409325231322,,,,,128
23,2014,135,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
24,2014,137,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
25,2014,144,L30,ibp,center,642.8888888888889,10.897955409101536,899.7777777777778,17.060531304594875,1436.6666666666667,30.203016773531452,2025.7777777777778,46.475268878016735,,,,,,,,,2850.1111111111113,53.28006599187698,3727.4444444444443,43.18207218307953,3129.777777777778,25.16513363003034,,,,,128
26,2014,151,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
27,2014,153,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
28,2014,160,L30,ibp,center,657.4444444444445,15.217760903417435,920.8888888888889,19.835122857331438,1474.6666666666667,34.69229821668717,2073.3333333333335,52.710951845365535,,,,,,,,,2873.6666666666665,61.27896140692261,3769.1111111111113,50.018761912005345,3215.5555555555557,30.346557963744647,,,,,128
29,2014,167,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
30,2014,169,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
31,2014,176,L30,ibp,center,654.6666666666666,14.220486005134362,911.7777777777778,19.87615979999813,1465.2222222222222,33.726935420217266,2071.1111111111113,53.04179577244187,,,,,,,,,2926.5555555555557,63.42293856171022,3890.222222222222,47.06680306348928,3176.6666666666665,30.73904502239601,,,,,128
32,2014,183,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
33,2014,185,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
34,2014,192,L30,ibp,center,3007.5555555555557,714.3279842871917,3284.4444444444443,647.4353011195809,3804.222222222222,637.9410940723076,4482.111111111111,498.84209134631516,,,,,,,,,5399.222222222223,340.0381605309674,5648.333333333333,226.0894611529791,4948.444444444444,314.8520326584153,,,,,194
35,2014,199,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
36,2014,201,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
37,2014,208,L30,ibp,center,570.8888888888889,12.818774810968518,773.7777777777778,17.229030912179578,1247.111111111111,29.542603678395807,1708.7777777777778,45.45028487327366,,,,,,,,,2758.3333333333335,52.70462766947299,3502.1111111111113,42.95849274317516,2836.6666666666665,34.666666666666664,,,,,128
38,2014,215,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
39,2014,217,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
40,2014,224,L30,ibp,center,301.44444444444446,65.94797800136965,498.8888888888889,72.81551184625498,803.2222222222222,85.18969392254726,1064.5555555555557,110.49495826719487,,,,,,,,,1719.7777777777778,136.53797011802473,1936.111111111111,122.91319831892608,1429.4444444444443,126.58077009571672,,,,,204
41,2014,231,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
42,2014,233,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
43,2014,240,L30,ibp,center,549.3333333333334,6.879922480183431,662.4444444444445,9.810551135397384,1015.6666666666666,21.540659228538015,1293.0,35.270384177096794,,,,,,,,,2398.5555555555557,38.49707380253757,3025.6666666666665,33.67161679779838,2431.0,32.49957264676294,,,,,64
44,2014,247,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
45,2014,249,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
46,2014,256,L30,ibp,center,500.44444444444446,151.17694644290998,712.8888888888889,156.38587918951168,1209.7777777777778,157.71054905728602,1499.5555555555557,176.98092245657512,,,,,,,,,2492.6666666666665,207.29635254335224,2684.0,166.00468534217808,1953.3333333333333,138.71954120134305,,,,,196
47,2014,263,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
48,2014,272,L30,ibp,center,495.0,10.760008261045982,606.6666666666666,11.045361017187261,926.1111111111111,18.782050795873314,1163.3333333333333,27.251911247959594,,,,,,,,,2216.1111111111113,33.40473833470151,2834.0,29.34848093740685,2240.6666666666665,24.55832060852515,,,,,64
49,2014,279,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
50,2014,281,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
51,2014,288,L30,ibp,center,504.0,11.925695879998878,617.3333333333334,10.954451150103322,919.7777777777778,20.263693739064884,1212.4444444444443,28.852541236474632,,,,,,,,,2160.4444444444443,36.77593147430081,2815.4444444444443,36.71545575582611,2322.8888888888887,24.555806936873154,,,,,64
52,2014,295,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
53,2014,297,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
54,2014,304,L30,ibp,center,7496.333333333333,49.09627729720905,7508.444444444444,55.673874006697076,7096.777777777777,60.66625966489442,7102.111111111111,56.22266139485917,,,,,,,,,6953.555555555556,44.15908390533056,2373.0,19.55618685849684,2759.4444444444443,20.23259807072137,,,,,194
55,2014,311,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
56,2014,313,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
57,2014,320,L30,ibp,center,10846.222222222223,107.97610618175135,10904.444444444445,112.91797525550336,10301.333333333334,113.70624921749513,10279.222222222223,110.67748719969887,,,,,,,,,10000.888888888889,104.05387968040024,5456.777777777777,222.33747011532705,4573.888888888889,195.411499971183,,,,,194
58,2014,327,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
59,2014,329,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
60,2014,336,L30,ibp,center,584.0,14.204850501775011,994.2222222222222,11.688339657565454,1736.2222222222222,17.008349438357737,2216.3333333333335,24.289915602982237,,,,,,,,,2949.5555555555557,26.82085055868583,3018.1111111111113,18.332996629904745,2702.0,15.874507866387544,,,,,194
61,2014,343,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
62,2014,345,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
63,2014,352,L30,ibp,center,532.4444444444445,23.051204408693224,1041.888888888889,34.62640111708099,1931.4444444444443,17.550632221034792,2448.6666666666665,27.41451359326945,,,,,,,,,3101.3333333333335,25.333333333333336,2958.3333333333335,9.26162932629987,2698.0,9.921917377424812,,,,,194
64,2014,359,L30,ibp,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
