,Year,DOY,Satellite,Phenocam,CenterOrNorth,CoastalAerosol_mean,CoastalAerosol_std,Blue_mean,Blue_std,Green_mean,Green_std,Red_mean,Red_std,RedEdge1_mean,RedEdge1_std,RedEdge2_mean,RedEdge2_std,RedEdge3_mean,RedEdge3_std,NIRBroad_mean,NIRBroad_std,NIRNarrow_mean,NIRNarrow_std,SWIR1_mean,SWIR1_std,SWIR2_mean,SWIR2_std,WaterVapor_mean,WaterVapor_std,Cirrus_mean,Cirrus_std,Quality
0,2014,7,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
1,2014,9,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
2,2014,16,L30,jergrassland2,center,488.22222222222223,20.751320053206673,704.3333333333334,29.23468259904093,1094.4444444444443,42.21140212236266,1551.888888888889,59.3547610080353,,,,,,,,,2189.0,80.33540799534025,2926.777777777778,96.50765977403933,2394.4444444444443,72.70505272233852,,,,,64
3,2014,23,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
4,2014,25,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
5,2014,32,L30,jergrassland2,center,2480.777777777778,57.34840456519117,2644.8888888888887,73.50955258323678,3252.3333333333335,38.201221620955174,3834.5555555555557,42.43455382144004,,,,,,,,,4424.0,42.54931779058795,3371.1111111111113,9.060836905722272,3133.8888888888887,10.86732558783893,,,,,194
6,2014,39,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
7,2014,41,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
8,2014,48,L30,jergrassland2,center,739.1111111111111,20.925499831781234,1182.6666666666667,16.61324772583615,1974.7777777777778,21.15434170187071,2570.0,27.56003547812585,,,,,,,,,3230.5555555555557,29.481109247603555,3567.0,25.96578945886726,3087.0,17.15290710702481,,,,,194
9,2014,55,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
10,2014,57,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
11,2014,64,L30,jergrassland2,center,538.5555555555555,16.99745805251225,750.4444444444445,21.271321910085163,1163.0,34.925317146416546,1658.111111111111,54.054385050704965,,,,,,,,,2312.222222222222,73.8328107999234,3183.8888888888887,56.64792718468159,2630.1111111111113,43.51869188302742,,,,,64
12,2014,71,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
13,2014,73,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
14,2014,80,L30,jergrassland2,center,582.5555555555555,21.150839810545538,816.7777777777778,21.143834287920953,1275.0,30.890487568541584,1796.0,53.18521097698745,,,,,,,,,2447.0,73.78949036881126,3352.1111111111113,63.001665664831506,2840.0,41.26338166785009,,,,,64
15,2014,87,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
16,2014,89,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
17,2014,96,L30,jergrassland2,center,598.1111111111111,21.966866182424457,836.6666666666666,22.588099128129887,1308.3333333333333,30.04441157131666,1841.7777777777778,49.54857947908357,,,,,,,,,2499.5555555555557,66.28073477617109,3439.4444444444443,64.90524907913606,2924.1111111111113,48.85453338328763,,,,,128
18,2014,103,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
19,2014,105,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
20,2014,112,L30,jergrassland2,center,599.6666666666666,16.539514973407037,839.0,19.44222209522358,1318.5555555555557,28.488247522681704,1851.888888888889,46.750982032334406,,,,,,,,,2554.5555555555557,63.55244747644982,3496.3333333333335,57.82732917920384,2924.1111111111113,48.051926645255215,,,,,128
21,2014,121,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
22,2014,128,L30,jergrassland2,center,633.3333333333334,10.624918300339484,877.7777777777778,15.781689655897486,1395.888888888889,24.28737415221902,1948.2222222222222,42.8946455549402,,,,,,,,,2703.1111111111113,61.402939568511876,3588.8888888888887,64.18799549317691,3070.8888888888887,48.169710271646025,,,,,128
23,2014,135,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
24,2014,137,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
25,2014,144,L30,jergrassland2,center,624.1111111111111,14.85817728049997,859.0,25.037749277618563,1366.2222222222222,36.63264414813583,1930.5555555555557,55.96449491738512,,,,,,,,,2755.3333333333335,75.97075460699041,3676.0,51.74080702029213,3094.777777777778,46.09598145362391,,,,,128
26,2014,151,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
27,2014,153,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
28,2014,160,L30,jergrassland2,center,643.5555555555555,12.120791238484127,891.5555555555555,14.415355324646093,1418.6666666666667,24.138489320308896,1987.0,46.4399253516483,,,,,,,,,2785.5555555555557,76.58707623949083,3711.6666666666665,56.45647290907689,3171.0,43.92417709341102,,,,,128
29,2014,167,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
30,2014,169,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
31,2014,176,L30,jergrassland2,center,511.44444444444446,109.78475011596416,756.1111111111111,131.71893008679456,1241.2222222222222,168.44898850511115,1758.5555555555557,244.0182648496766,,,,,,,,,2502.4444444444443,370.96663854527435,3057.777777777778,576.8390450989057,2497.5555555555557,506.26192410892327,,,,,128
32,2014,183,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
33,2014,185,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
34,2014,192,L30,jergrassland2,center,765.0,16.726559053725836,1033.6666666666667,19.922070396645246,1659.888888888889,31.603250340728646,2337.8888888888887,71.03746186100909,,,,,,,,,3659.5555555555557,94.27042792014319,4764.888888888889,53.521427576967184,3678.5555555555557,54.81911895013578,,,,,128
35,2014,199,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
36,2014,201,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
37,2014,208,L30,jergrassland2,center,609.2222222222222,17.177360926378118,813.8888888888889,15.856610569898983,1299.7777777777778,25.917723570208253,1803.5555555555557,48.15048427381047,,,,,,,,,2892.4444444444443,57.959969157094605,3738.0,57.135316962842204,3009.0,56.76462121975467,,,,,64
38,2014,215,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
39,2014,217,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
40,2014,224,L30,jergrassland2,center,223.11111111111111,90.11282365820261,520.7777777777778,102.48010948230966,920.3333333333334,175.20083713650837,1242.4444444444443,214.14175528846468,,,,,,,,,2051.4444444444443,284.52537911058954,2194.0,328.9241722815627,1774.0,304.9783234555823,,,,,200
41,2014,231,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
42,2014,233,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
43,2014,240,L30,jergrassland2,center,564.1111111111111,11.327885400829274,700.3333333333334,8.576453553512405,1065.6666666666667,22.77425447005163,1429.0,50.76306618880393,,,,,,,,,2462.4444444444443,67.52301848030314,3292.3333333333335,36.91130510351056,2676.6666666666665,37.75652997238432,,,,,64
44,2014,247,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
45,2014,249,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
46,2014,256,L30,jergrassland2,center,1212.3333333333333,548.9183302945287,1357.4444444444443,549.3442780283318,1929.0,439.96565522524344,2444.6666666666665,420.5726255158951,,,,,,,,,3681.222222222222,360.40340909035615,3856.1111111111113,296.59116808774723,3044.5555555555557,300.3239403307743,,,,,194
47,2014,263,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
48,2014,272,L30,jergrassland2,center,464.6666666666667,10.132456102380441,595.3333333333334,8.432740427115679,940.5555555555555,19.419984615574126,1207.2222222222222,37.60253471887169,,,,,,,,,2295.222222222222,46.148980433610106,2929.222222222222,35.02944088042317,2295.6666666666665,36.067837319263944,,,,,64
49,2014,279,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
50,2014,281,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
51,2014,288,L30,jergrassland2,center,520.3333333333334,8.589399151150083,639.8888888888889,6.870944370551247,940.5555555555555,14.659931113307238,1273.2222222222222,30.524226363033815,,,,,,,,,2214.777777777778,45.20024035771339,2926.5555555555557,47.88205674388571,2394.777777777778,43.933732364848915,,,,,64
52,2014,295,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
53,2014,297,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
54,2014,304,L30,jergrassland2,center,8268.222222222223,52.17444623094885,8246.111111111111,65.42246376767002,7823.777777777777,14.304449795452369,7800.555555555556,23.257548887337926,,,,,,,,,7565.222222222223,36.81418137915447,2898.777777777778,38.130704390083736,3260.777777777778,28.824286741788416,,,,,194
55,2014,311,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
56,2014,313,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
57,2014,320,L30,jergrassland2,center,11018.888888888889,327.58084479490435,11032.222222222223,370.4558086639208,10324.0,315.0350950467441,10219.0,350.8472285451002,,,,,,,,,9779.888888888889,392.4833880262236,5143.333333333333,335.4065526425439,3793.6666666666665,316.28538449388464,,,,,194
58,2014,327,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
59,2014,329,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
60,2014,336,L30,jergrassland2,center,547.1111111111111,18.31480545256848,957.4444444444445,23.78193110143876,1695.888888888889,19.289861726619474,2174.5555555555557,37.508846693105795,,,,,,,,,2851.6666666666665,49.783977788485764,2925.222222222222,38.11904679284441,2588.3333333333335,35.046001515468525,,,,,194
61,2014,343,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
62,2014,345,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
63,2014,352,L30,jergrassland2,center,-309.22222222222223,42.139392438213065,24.22222222222222,39.03496375125419,1082.0,27.8966346038769,2051.8888888888887,25.989076527753582,,,,,,,,,3154.4444444444443,21.050791017658597,3001.8888888888887,15.372735204065703,2715.777777777778,9.646850698288105,,,,,194
64,2014,359,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
65,2014,361,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
66,2015,3,L30,jergrassland2,center,8481.222222222223,337.284178822474,8674.0,370.421981589166,8150.555555555556,340.48465819936115,8343.222222222223,370.15725720527,,,,,,,,,7849.222222222223,354.6593914597741,517.2222222222222,27.40955947506789,664.2222222222222,29.53257251758087,,,,,208
67,2015,10,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
68,2015,12,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
69,2015,19,L30,jergrassland2,center,466.1111111111111,13.278591327935391,632.1111111111111,17.829092607585967,921.2222222222222,26.04601815495787,1244.888888888889,39.331763936047764,,,,,,,,,1716.2222222222222,47.234116149188836,2796.777777777778,68.63069895830999,2376.777777777778,61.0096126811683,,,,,64
70,2015,26,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
71,2015,28,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
72,2015,35,L30,jergrassland2,center,537.4444444444445,14.407645432671512,682.2222222222222,10.612129096021086,944.4444444444445,25.289923821822402,1261.0,46.99881795203884,,,,,,,,,1711.3333333333333,48.618697820671606,2871.1111111111113,59.110902255270126,2484.3333333333335,57.15864861165903,,,,,64
73,2015,44,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
74,2015,51,L30,jergrassland2,center,1309.6666666666667,394.5270023148676,1622.111111111111,331.96132453593793,1959.111111111111,459.0755068478979,2768.0,358.9890125214296,,,,,,,,,3575.8888888888887,253.83697499880353,3307.777777777778,193.79185728667053,3009.3333333333335,185.18519259259244,,,,,194
75,2015,58,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
76,2015,60,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
77,2015,67,L30,jergrassland2,center,538.6666666666666,13.283239230114184,712.1111111111111,11.454687972319887,1030.111111111111,20.856357647513327,1395.4444444444443,37.853844986301105,,,,,,,,,1872.7777777777778,41.71804240048177,3094.222222222222,55.26256071956809,2745.3333333333335,61.31340255876633,,,,,64
78,2015,74,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
79,2015,83,L30,jergrassland2,center,599.8888888888889,30.223039204643733,753.6666666666666,20.231987873991358,1061.6666666666667,19.629909152447276,1429.4444444444443,34.525710584403974,,,,,,,,,1912.3333333333333,47.220522845239415,3153.1111111111113,60.73337805421779,2894.0,56.619588286897475,,,,,64
80,2015,90,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
81,2015,92,L30,jergrassland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
