,Year,DOY,Satellite,Phenocam,CenterOrNorth,CoastalAerosol_mean,CoastalAerosol_std,Blue_mean,Blue_std,Green_mean,Green_std,Red_mean,Red_std,RedEdge1_mean,RedEdge1_std,RedEdge2_mean,RedEdge2_std,RedEdge3_mean,RedEdge3_std,NIRBroad_mean,NIRBroad_std,NIRNarrow_mean,NIRNarrow_std,SWIR1_mean,SWIR1_std,SWIR2_mean,SWIR2_std,WaterVapor_mean,WaterVapor_std,Cirrus_mean,Cirrus_std,Quality
0,2014,7,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
1,2014,9,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
2,2014,16,L30,jersand,north,685.3333333333334,27.932458220182163,881.8888888888889,34.610353121716,1309.6666666666667,54.27911405155967,1764.5555555555557,79.7762302542571,,,,,,,,,2554.222222222222,73.16310208139646,2999.3333333333335,72.39858807708583,2361.222222222222,59.385328861181,,,,,64
3,2014,23,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
4,2014,25,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
5,2014,32,L30,jersand,north,3916.3333333333335,47.0838495546922,4067.4444444444443,45.25510679865892,4220.0,35.798820588890294,4647.222222222223,34.90869925893282,,,,,,,,,5081.444444444444,27.419016560332764,3594.8888888888887,6.740333728045822,3359.1111111111113,5.724109721062781,,,,,66
6,2014,39,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
7,2014,41,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
8,2014,48,L30,jersand,north,1022.8888888888889,27.15570103616241,1344.5555555555557,33.35702861504141,1940.2222222222222,45.50159405700415,2540.222222222222,63.09741635453297,,,,,,,,,3411.222222222222,59.93103031870659,3763.5555555555557,54.45102001107888,3047.1111111111113,49.69338083452798,,,,,194
9,2014,55,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
10,2014,57,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
11,2014,64,L30,jersand,north,764.5555555555555,19.861247085781624,963.5555555555555,28.690343366176986,1421.888888888889,42.58702056950749,1915.7777777777778,61.533690460823124,,,,,,,,,2690.3333333333335,61.593650466405855,3233.1111111111113,55.72640396405847,2580.777777777778,56.23320050918472,,,,,64
12,2014,71,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
13,2014,73,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
14,2014,80,L30,jersand,north,823.3333333333334,17.88854381999832,1052.2222222222222,18.010970593735227,1559.3333333333333,31.608718909679194,2084.1111111111113,45.921296062924505,,,,,,,,,2852.8888888888887,43.638526414789965,3424.222222222222,50.991889938559574,2774.1111111111113,55.66855175340012,,,,,64
15,2014,87,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
16,2014,89,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
17,2014,96,L30,jersand,north,850.8888888888889,19.885474567267238,1080.7777777777778,26.624040004718285,1603.4444444444443,32.71802463172967,2147.8888888888887,50.21607632011539,,,,,,,,,2906.777777777778,47.18704572179336,3498.8888888888887,45.08620001839549,2865.0,58.86519439457506,,,,,64
18,2014,103,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
19,2014,105,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
20,2014,112,L30,jersand,north,863.7777777777778,21.11228066935755,1108.6666666666667,21.457969252574774,1651.111111111111,36.43394157602814,2205.1111111111113,49.32307200589564,,,,,,,,,2995.8888888888887,47.14857001353263,3598.222222222222,49.299037127801945,2900.5555555555557,55.23708720116527,,,,,64
21,2014,121,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
22,2014,128,L30,jersand,north,921.3333333333334,21.90383020792888,1172.5555555555557,28.5155361595944,1743.4444444444443,35.1634630803405,2321.6666666666665,52.40653055149181,,,,,,,,,3105.1111111111113,45.49589589413397,3704.0,43.387146073975,3054.1111111111113,56.712617534851276,,,,,64
23,2014,135,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
24,2014,137,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
25,2014,144,L30,jersand,north,939.0,26.645825188948457,1195.6666666666667,27.900617277122105,1770.888888888889,37.40898419852418,2367.3333333333335,51.49757275833493,,,,,,,,,3182.8888888888887,42.756271650274876,3797.6666666666665,53.69254034676408,3114.8888888888887,58.24172701278782,,,,,64
26,2014,151,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
27,2014,153,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
28,2014,160,L30,jersand,north,933.3333333333334,26.72493633710326,1191.6666666666667,26.620793877468543,1767.0,41.33602141796749,2370.6666666666665,55.79526065098282,,,,,,,,,3184.0,50.21730556071062,3826.1111111111113,45.95757571317376,3157.4444444444443,60.166641017743586,,,,,64
29,2014,167,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
30,2014,169,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
31,2014,176,L30,jersand,north,1026.888888888889,34.81840013059649,1299.7777777777778,42.59310788738212,1924.5555555555557,50.062430160553006,2604.777777777778,72.92428002581822,,,,,,,,,3558.0,93.83200117467625,4250.444444444444,83.77763041543184,3358.1111111111113,71.40875210044781,,,,,72
32,2014,183,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
33,2014,185,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
34,2014,192,L30,jersand,north,1139.7777777777778,13.197455796712216,1402.2222222222222,19.696462049920303,2058.222222222222,38.32544202188462,2785.222222222222,49.823639587332394,,,,,,,,,4076.1111111111113,78.20122824333025,4765.444444444444,82.40025770066379,3656.3333333333335,64.26334707885808,,,,,68
35,2014,199,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
36,2014,201,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
37,2014,208,L30,jersand,north,879.2222222222222,21.017335584267773,1104.5555555555557,24.886904682811764,1638.111111111111,38.28676720761204,2191.222222222222,50.11714671708405,,,,,,,,,3072.4444444444443,52.74068872240465,3706.0,70.96008267563766,3062.3333333333335,63.44026061316793,,,,,64
38,2014,215,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
39,2014,217,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
40,2014,224,L30,jersand,north,792.2222222222222,25.284065152132555,1022.1111111111111,26.214688183215337,1579.0,45.20570268843916,1986.2222222222222,66.96396672469585,,,,,,,,,3350.777777777778,32.13436297720273,3630.6666666666665,48.789798569418636,2871.5555555555557,66.290792239967,,,,,128
41,2014,231,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
42,2014,233,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
43,2014,240,L30,jersand,north,691.7777777777778,27.083319088315342,872.2222222222222,34.71079812065461,1366.7777777777778,49.676235717511126,1711.2222222222222,69.22231139641126,,,,,,,,,2943.3333333333335,65.9191423892433,3179.8888888888887,53.29883143276938,2531.222222222222,55.28065319154569,,,,,64
44,2014,247,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
45,2014,249,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
46,2014,256,L30,jersand,north,6788.888888888889,178.46222410386676,6877.888888888889,188.58917398199154,6779.888888888889,157.1237618669114,6869.888888888889,163.32887371084857,,,,,,,,,7100.0,146.17265286107536,5694.444444444444,116.95878771897115,4296.333333333333,116.53897774278498,,,,,194
47,2014,263,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
48,2014,272,L30,jersand,north,617.6666666666666,13.283239230114184,781.8888888888889,17.653733910639254,1243.6666666666667,43.15604759989548,1511.3333333333333,51.01633725255731,,,,,,,,,2659.1111111111113,96.81648670947233,2830.222222222222,58.9421143114681,2204.777777777778,63.637476341081666,,,,,64
49,2014,279,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
50,2014,281,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
51,2014,288,L30,jersand,north,657.8888888888889,17.361799986332986,822.1111111111111,19.896646531761995,1241.7777777777778,39.10037731496769,1608.2222222222222,52.817879501753275,,,,,,,,,2612.5555555555557,74.5700433017488,2899.777777777778,65.21720593997632,2349.0,55.81517117534742,,,,,64
52,2014,295,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
53,2014,297,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
54,2014,304,L30,jersand,north,6347.777777777777,159.04980196835467,6405.777777777777,227.09703152704367,6068.222222222223,68.6533608107956,6152.777777777777,66.57623496209736,,,,,,,,,6221.333333333333,76.43006970790722,2071.5555555555557,108.77817500778679,2386.222222222222,63.99093299970582,,,,,194
55,2014,311,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
56,2014,313,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
57,2014,320,L30,jersand,north,11398.333333333334,88.37797614036354,11449.555555555555,91.6964934639283,10976.666666666666,76.81724343458889,10923.111111111111,78.69977332233971,,,,,,,,,10563.888888888889,63.05631423919493,7264.111111111111,33.25472211896946,6247.111111111111,22.44224411656852,,,,,194
58,2014,327,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
59,2014,329,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
60,2014,336,L30,jersand,north,833.1111111111111,21.732947054054154,1183.5555555555557,25.660653456263912,1852.0,42.56498299985304,2296.1111111111113,50.54029073575182,,,,,,,,,3075.1111111111113,56.242420614187736,3090.777777777778,40.07985855424636,2659.1111111111113,37.98375221194933,,,,,194
61,2014,343,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
62,2014,345,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
63,2014,352,L30,jersand,north,857.6666666666666,55.29114857833134,1309.5555555555557,73.58005634244937,2197.6666666666665,61.43831594914257,2639.8888888888887,72.35782142234282,,,,,,,,,3316.1111111111113,62.56098259466419,2741.4444444444443,24.984933731756165,2425.6666666666665,26.369173922088144,,,,,194
64,2014,359,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
65,2014,361,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
66,2015,3,L30,jersand,north,6811.777777777777,488.9187112116282,6992.666666666667,488.72032447562026,6766.111111111111,468.4474225079278,6878.111111111111,451.05073487591034,,,,,,,,,6898.111111111111,346.90294654411287,611.0,15.684387141358123,713.3333333333334,27.972208429876332,,,,,208
67,2015,10,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
68,2015,12,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
69,2015,19,L30,jersand,north,612.0,24.657656011875904,789.6666666666666,30.014811158641145,1164.2222222222222,41.62471962609018,1495.111111111111,57.74165537488597,,,,,,,,,2067.5555555555557,68.72992411705256,2766.8888888888887,66.39184093855116,2340.8888888888887,58.88301857533469,,,,,64
70,2015,26,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
71,2015,28,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
72,2015,35,L30,jersand,north,598.8888888888889,25.41847291699678,770.4444444444445,28.817861402305155,1123.888888888889,36.032221519833065,1435.4444444444443,54.084524611658885,,,,,,,,,1962.111111111111,59.50059653191992,2681.5555555555557,78.02864304729687,2310.3333333333335,72.26340706055866,,,,,64
73,2015,44,L30,jersand,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
