#
# 3-day summary product timeseries for jershrubland2
#
# Site: jershrubland2
# Veg Type: XX
# ROI ID Number: 1000
# Lat: 32.6638
# Lon: -106.831
# Elev: 1336
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2022-07-28
# Creation Time: 05:48:22
# Update Date: 2023-10-15
# Update Time: 11:27:47
# Final Processing Date:: 2023-10-16
# Final Processing Time:: 11:34:04
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2021-11-06,2021,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32473,0.32385,0.32676,0.32959,0.47007,0.47286,0.48569,0.49112,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-07,2021,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32473,0.32385,0.32676,0.32959,0.47007,0.47286,0.48569,0.49112,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-08,2021,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32438,0.32352,0.32638,0.32924,0.46995,0.47262,0.48544,0.49116,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-09,2021,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32403,0.3232,0.32599,0.32888,0.46983,0.47238,0.48518,0.49119,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-10,2021,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32367,0.32287,0.3256,0.32852,0.46972,0.47215,0.48493,0.49121,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-11,2021,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32331,0.32254,0.32521,0.32816,0.4696,0.47192,0.48467,0.49121,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-12,2021,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32295,0.3222,0.32482,0.32779,0.46948,0.4717,0.48442,0.49119,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-13,2021,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32259,0.32187,0.32442,0.32742,0.46937,0.47148,0.48415,0.49116,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-14,2021,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32222,0.32153,0.32403,0.32703,0.46925,0.47126,0.48389,0.49111,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2021-11-15,2021,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32186,0.32119,0.32363,0.32665,0.46913,0.47105,0.48363,0.49105,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
