"date","zone","site","ppt_mm","qflag","gauge_loc","gauge_id","gauge_type","gauge_unit","owner","comment"
1989-01-03,"C","GRAV",2.54,"A","cdrrc_past10","e-mountain-s-dsrg","dsrg","in","CDRRC","See history file for gauge explanation."
1989-01-03,"P","SMAL",2.54,"A","cdrrc_past2","vine mesq playa-dsrg","dsrg","in","CDRRC","See history file for gauge description"
1989-01-04,"C","SAND",2.794,"A","cdrrc_past10","upper-trailer-grg","grg","in","JRN_LTER","See history file for gauge description"
1989-01-04,"G","IBPE",0.762,"A","jer_past9_ibp-excl","wbrgnum18","wbrg","in","USDA_JER","See history file for gauge description"
1989-01-04,"M","NORT",0,"A","jer_past4a","rabbit-wbrg-num116","wbrg","in","USDA_JER","See history file for gauge description"
1989-01-04,"M","RABB",0,"A","jer_past4a","rabbit-wbrg-num116","wbrg","in","USDA_JER","See history file for gauge description"
1989-01-04,"M","WELL",1.778,"A","jer_past2S","west well-wbrg","wbrg","in","USDA_JER","See history file for gauge description"
1989-01-04,"T","EAST",2.032,"A","jer_rep-1_ south-excl","wbrg-num53","wbrg","in","USDA_JER","See history file for gauge description"
1989-01-04,"T","TAYL",1.778,"A","jer_rep-2_ east excl","wbrg-num50","wbrg","in","USDA_JER","See history file for gauge description"
1989-01-04,"T","WEST",2.032,"A","jer_rep-1_ south-excl","wbrg-num53","wbrg","in","USDA_JER","See history file for gauge description"
1989-01-27,"C","GRAV",8.382,"A","cdrrc_past10","e-mountain-s-dsrg","dsrg","in","CDRRC",NA
1989-01-27,"C","SAND",8.89,"A","cdrrc_past10","upper-trailer-grg","grg","in","JRN_LTER",NA
1989-01-27,"G","IBPE",8.89,"A","jer_past9_ibp-excl","wbrgnum18","wbrg","in","USDA_JER",NA
1989-01-27,"M","NORT",9.144,"E","jer_past4a","rabbit-wbrg-num116","wbrg","in","USDA_JER",NA
1989-01-27,"M","RABB",9.144,"A","jer_past4a","rabbit-wbrg-num116","wbrg","in","USDA_JER",NA
1989-01-27,"M","WELL",9.652,"A","jer_past2S","west well-wbrg","wbrg","in","USDA_JER",NA
1989-01-27,"P","SMAL",8.89,"A","cdrrc_past2","vine mesq playa-dsrg","dsrg","in","CDRRC",NA
1989-01-27,"T","EAST",8.636,"A","jer_rep-1_ south-excl","wbrg-num53","wbrg","in","USDA_JER",NA
1989-01-27,"T","TAYL",12.446,"A","jer_rep-2_ east excl","wbrg-num50","wbrg","in","USDA_JER",NA
1989-01-27,"T","WEST",8.636,"A","jer_rep-1_ south-excl","wbrg-num53","wbrg","in","USDA_JER",NA
1989-01-31,"P","TOBO",10.16,"A","jer_past12a_ne-excl","neexc_dsrg","dsrg","in","USDA_JER",NA
1989-02-06,"C","GRAV",3.556,"A","cdrrc_past10","e-mountain-s-dsrg","dsrg","in","CDRRC",NA
1989-02-06,"C","SAND",6.604,"A","cdrrc_past10","upper-trailer-grg","grg","in","JRN_LTER",NA
1989-02-06,"P","SMAL",4.572,"A","cdrrc_past2","vine mesq playa-dsrg","dsrg","in","CDRRC",NA
1989-02-07,"G","IBPE",5.334,"A","jer_past9_ibp-excl","wbrgnum18","wbrg","in","USDA_JER",NA
1989-02-07,"M","NORT",5.08,"E","jer_past4a","rabbit-wbrg-num116","wbrg","in","USDA_JER",NA
1989-02-07,"M","RABB",5.08,"A","jer_past4a","rabbit-wbrg-num116","wbrg","in","USDA_JER",NA
1989-02-07,"M","WELL",6.35,"A","jer_past2S","west well-wbrg","wbrg","in","USDA_JER",NA
1989-02-07,"T","EAST",4.572,"A","jer_rep-1_ south-excl","wbrg-num53","wbrg","in","USDA_JER",NA
1989-02-07,"T","TAYL",5.334,"A","jer_rep-2_ east excl","wbrg-num50","wbrg","in","USDA_JER",NA
1989-02-07,"T","WEST",4.572,"A","jer_rep-1_ south-excl","wbrg-num53","wbrg","in","USDA_JER",NA
1989-02-09,"P","TOBO",6.858,"A","jer_past12a_ne-excl","neexc_dsrg","dsrg","in","USDA_JER",NA
1989-02-16,"C","GRAV",11.176,"A","cdrrc_past10","e-mountain-s-dsrg","dsrg","in","CDRRC",NA
1989-02-16,"C","SAND",12.954,"A","cdrrc_past10","upper-trailer-grg","grg","in","JRN_LTER",NA
1989-02-16,"G","IBPE",9.906,"A","jer_past9_ibp-excl","wbrgnum18","wbrg","in","USDA_JER",NA
1989-02-16,"M","NORT",8.382,"E","jer_past4a","rabbit-wbrg-num116","wbrg","in","USDA_JER",NA
1989-02-16,"M","RABB",8.382,"A","jer_past4a","rabbit-wbrg-num116","wbrg","in","USDA_JER",NA
1989-02-16,"M","WELL",11.684,"A","jer_past2S","west well-wbrg","wbrg","in","USDA_JER",NA
1989-02-16,"P","SMAL",10.16,"A","cdrrc_past2","vine mesq playa-dsrg","dsrg","in","CDRRC",NA
1989-02-16,"P","TOBO",7.366,"A","jer_past12a_ne-excl","neexc_dsrg","dsrg","in","USDA_JER",NA
1989-02-16,"T","EAST",9.652,"A","jer_rep-1_ south-excl","wbrg-num53","wbrg","in","USDA_JER",NA
1989-02-16,"T","TAYL",11.43,"A","jer_rep-2_ east excl","wbrg-num50","wbrg","in","USDA_JER",NA
1989-02-16,"T","WEST",9.652,"A","jer_rep-1_ south-excl","wbrg-num53","wbrg","in","USDA_JER",NA
1989-02-23,"P","TOBO",1.27,"A","jer_past12a_ne-excl","neexc_dsrg","dsrg","in","USDA_JER",NA
1989-03-04,"C","SAND",1.778,"A","cdrrc_past10","upper-trailer-grg","grg","in","JRN_LTER",NA
1989-03-04,"G","IBPE",0.508,"A","jer_past9_ibp-excl","wbrgnum18","wbrg","in","USDA_JER",NA
1989-03-04,"M","NORT",0,"E","jer_past4a","rabbit-wbrg-num116","wbrg","in","USDA_JER",NA
1989-03-04,"M","RABB",0,"A","jer_past4a","rabbit-wbrg-num116","wbrg","in","USDA_JER",NA
1989-03-04,"M","WELL",0.508,"A","jer_past2S","west well-wbrg","wbrg","in","USDA_JER",NA
1989-03-04,"T","EAST",0.508,"A","jer_rep-1_ south-excl","wbrg-num53","wbrg","in","USDA_JER",NA
1989-03-04,"T","TAYL",1.016,"A","jer_rep-2_ east excl","wbrg-num50","wbrg","in","USDA_JER",NA
1989-03-04,"T","WEST",0.508,"A","jer_rep-1_ south-excl","wbrg-num53","wbrg","in","USDA_JER",NA
1989-03-05,"C","GRAV",1.016,"A","cdrrc_past10","e-mountain-s-dsrg","dsrg","in","CDRRC",NA
1989-03-05,"P","SMAL",1.27,"A","cdrrc_past2","vine mesq playa-dsrg","dsrg","in","CDRRC",NA
1989-03-27,"C","GRAV",13.716,"A","cdrrc_past10","e-mountain-s-dsrg","dsrg","in","CDRRC",NA
1989-03-27,"C","SAND",14.732,"A","cdrrc_past10","upper-trailer-grg","grg","in","JRN_LTER",NA
1989-03-27,"G","IBPE",14.224,"A","jer_past9_ibp-excl","wbrgnum18","wbrg","in","USDA_JER",NA
1989-03-27,"M","NORT",13.716,"E","jer_past4a","rabbit-wbrg-num116","wbrg","in","USDA_JER",NA
1989-03-27,"M","RABB",13.716,"A","jer_past4a","rabbit-wbrg-num116","wbrg","in","USDA_JER",NA
1989-03-27,"M","WELL",12.192,"A","jer_past2S","west well-wbrg","wbrg","in","USDA_JER",NA
1989-03-27,"P","SMAL",14.478,"A","cdrrc_past2","vine mesq playa-dsrg","dsrg","in","CDRRC",NA
1989-03-27,"T","EAST",14.732,"A","jer_rep-1_ south-excl","wbrg-num53","wbrg","in","USDA_JER",NA
1989-03-27,"T","TAYL",12.7,"A","jer_rep-2_ east excl","wbrg-num50","wbrg","in","USDA_JER",NA
1989-03-27,"T","WEST",14.732,"A","jer_rep-1_ south-excl","wbrg-num53","wbrg","in","USDA_JER",NA
1989-03-29,"P","TOBO",12.7,"A","jer_past12a_ne-excl","neexc_dsrg","dsrg","in","USDA_JER",NA
1989-05-10,"C","GRAV",0.508,"A","cdrrc_past10","e-mountain-s-dsrg","dsrg","in","CDRRC",NA
1989-05-10,"C","SAND",9.398,"A","cdrrc_past10","upper-trailer-grg","grg","in","JRN_LTER",NA
1989-05-10,"P","SMAL",0,"A","cdrrc_past2","vine mesq playa-dsrg","dsrg","in","CDRRC",NA
1989-05-10,"T","EAST",6.604,"A","jer_rep-1_ south-excl","wbrg-num53","wbrg","in","USDA_JER",NA
1989-05-10,"T","TAYL",11.43,"A","jer_rep-2_ east excl","wbrg-num50","wbrg","in","USDA_JER",NA
1989-05-10,"T","WEST",6.604,"A","jer_rep-1_ south-excl","wbrg-num53","wbrg","in","USDA_JER",NA
1989-05-17,"C","GRAV",1.27,"A","cdrrc_past10","e-mountain-s-dsrg","dsrg","in","CDRRC",NA
1989-05-17,"C","SAND",1.27,"A","cdrrc_past10","upper-trailer-grg","grg","in","JRN_LTER",NA
1989-05-17,"G","IBPE",2.032,"A","jer_past9_ibp-excl","wbrgnum18","wbrg","in","USDA_JER",NA
1989-05-17,"M","NORT",2.286,"E","jer_past4a","rabbit-wbrg-num116","wbrg","in","USDA_JER",NA
1989-05-17,"M","RABB",2.286,"A","jer_past4a","rabbit-wbrg-num116","wbrg","in","USDA_JER",NA
1989-05-17,"M","WELL",1.016,"A","jer_past2S","west well-wbrg","wbrg","in","USDA_JER",NA
1989-05-17,"P","SMAL",1.778,"A","cdrrc_past2","vine mesq playa-dsrg","dsrg","in","CDRRC",NA
1989-05-17,"T","EAST",2.032,"A","jer_rep-1_ south-excl","wbrg-num53","wbrg","in","USDA_JER",NA
1989-05-17,"T","TAYL",1.778,"A","jer_rep-2_ east excl","wbrg-num50","wbrg","in","USDA_JER",NA
1989-05-17,"T","WEST",2.032,"A","jer_rep-1_ south-excl","wbrg-num53","wbrg","in","USDA_JER",NA
1989-05-18,"P","TOBO",1.27,"A","jer_past12a_ne-excl","neexc_dsrg","dsrg","in","USDA_JER",NA
1989-05-27,"C","GRAV",3.048,"A","cdrrc_past10","e-mountain-s-dsrg","dsrg","in","CDRRC",NA
1989-05-27,"C","SAND",0,"A","cdrrc_past10","upper-trailer-grg","grg","in","JRN_LTER",NA
1989-05-27,"P","SMAL",0.762,"A","cdrrc_past2","vine mesq playa-dsrg","dsrg","in","CDRRC",NA
